idx,email,sendStatus,sendBody,code,registerStatus,registerBody,success,error,timeMs,ts
38,mt0c4rvawk@tiffincrane.com,200,"{""code"":200,""message"":""success"",""data"":null}",506339,200,"{""code"":200,""message"":""success"",""data"":{""token"":""eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpc3MiOiJodHRwczpcL1wvY2xvdWQubHlwZXhjaGFuZ2UudmlwXC9hcGlcL2FwcFwvdXNlclwvcmVnaXN0ZXIiLCJpYXQiOjE3NjA4MzE2ODQsImV4cCI6MTc2NjAxNTY4NCwibmJmIjoxNzYwODMxNjg0LCJqdGkiOiJiWDEzOXNzSWdkQTYyN2N4Iiwic3ViIjoxMjMyOTAsInBydiI6IjIzYmQ1Yzg5NDlmNjAwYWRiMzllNzAxYzQwMDg3MmRiN2E1OTc2ZjciLCJsb2dpbl9jb2RlIjoiRk8wNVdBIn0.eEAhJ1LdKs65R-gQ86QZeho8ZX8ucnpAQaI3NxilFIc"",""user"":{""user_grade"":0,""user_identity"":1,""is_agency"":0,""user_auth_level"":0,""status"":1,""account"":""mt0c4rvawk@tiffincrane.com"",""account_type"":2,""email"":""mt0c4rvawk@tiffincrane.com"",""email_status"":1,""username"":""mt0c4rvawk@tiffincrane.com"",""reg_ip"":""172.69.222.28"",""invite_code"":""04080979"",""last_login_time"":""2025-10-19 07:54:44"",""last_login_ip"":""172.69.222.28"",""pid"":123249,""deep"":15,""referrer"":100093,""updated_at"":""2025-10-19 07:54:44"",""created_at"":""2025-10-19 07:54:44"",""user_id"":123290,""is_set_payword"":0,""status_text"":""正常"",""user_auth_level_text"":""冻结"",""user_grade_name"":""VIP0"",""user_identity_text"":""普通用户""}}}",1,"",11371,2025-10-18T23:54:31.938Z
39,mtq4e844or@tiffincrane.com,,"""""",,,"""""",0,"create account failed 429 ",562,2025-10-18T23:54:36.948Z
40,mtcndrmefq@tiffincrane.com,,"""""",,,"""""",0,"create account failed 429 ",198,2025-10-18T23:54:41.935Z
41,mtxgh30x0v@tiffincrane.com,,"""""",,,"""""",0,"create account failed 429 ",577,2025-10-18T23:54:46.948Z
42,mt3bmr740k@tiffincrane.com,,"""""",,,"""""",0,"create account failed 429 ",575,2025-10-18T23:54:51.946Z
43,mtrun9fyqx@tiffincrane.com,,"""""",,,"""""",0,"create account failed 429 ",623,2025-10-18T23:54:56.940Z
44,mt0rdn6q7h@tiffincrane.com,200,"{""code"":200,""message"":""success"",""data"":null}",590675,200,"{""code"":200,""message"":""success"",""data"":{""token"":""eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpc3MiOiJodHRwczpcL1wvY2xvdWQubHlwZXhjaGFuZ2UudmlwXC9hcGlcL2FwcFwvdXNlclwvcmVnaXN0ZXIiLCJpYXQiOjE3NjA4MzE3MTQsImV4cCI6MTc2NjAxNTcxNCwibmJmIjoxNzYwODMxNzE0LCJqdGkiOiJ4MWhrMmE1Q0l3azVqekh3Iiwic3ViIjoxMjMyOTEsInBydiI6IjIzYmQ1Yzg5NDlmNjAwYWRiMzllNzAxYzQwMDg3MmRiN2E1OTc2ZjciLCJsb2dpbl9jb2RlIjoiaE0wZGhZIn0.5xmHr1d_bEpreLbxcdDrq54N0icXvHoVXbtWr00S0XU"",""user"":{""user_grade"":0,""user_identity"":1,""is_agency"":0,""user_auth_level"":0,""status"":1,""account"":""mt0rdn6q7h@tiffincrane.com"",""account_type"":2,""email"":""mt0rdn6q7h@tiffincrane.com"",""email_status"":1,""username"":""mt0rdn6q7h@tiffincrane.com"",""reg_ip"":""172.68.151.44"",""invite_code"":""95924218"",""last_login_time"":""2025-10-19 07:55:14"",""last_login_ip"":""172.68.151.44"",""pid"":123249,""deep"":15,""referrer"":100093,""updated_at"":""2025-10-19 07:55:14"",""created_at"":""2025-10-19 07:55:14"",""user_id"":123291,""is_set_payword"":0,""status_text"":""正常"",""user_auth_level_text"":""冻结"",""user_grade_name"":""VIP0"",""user_identity_text"":""普通用户""}}}",1,"",11243,2025-10-18T23:55:01.938Z
45,mtdxy1flip@tiffincrane.com,200,"{""code"":200,""message"":""success"",""data"":null}",250672,200,"{""code"":200,""message"":""success"",""data"":{""token"":""eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpc3MiOiJodHRwczpcL1wvY2xvdWQubHlwZXhjaGFuZ2UudmlwXC9hcGlcL2FwcFwvdXNlclwvcmVnaXN0ZXIiLCJpYXQiOjE3NjA4MzE3MTgsImV4cCI6MTc2NjAxNTcxOCwibmJmIjoxNzYwODMxNzE4LCJqdGkiOiJFVW9HUDBhU3lqY1lDYzZyIiwic3ViIjoxMjMyOTIsInBydiI6IjIzYmQ1Yzg5NDlmNjAwYWRiMzllNzAxYzQwMDg3MmRiN2E1OTc2ZjciLCJsb2dpbl9jb2RlIjoiRjFJVk5nIn0.HF-kh-WQuwAkhc1ceY-drkT6uN8WsEDpVsCHxG7SDCM"",""user"":{""user_grade"":0,""user_identity"":1,""is_agency"":0,""user_auth_level"":0,""status"":1,""account"":""mtdxy1flip@tiffincrane.com"",""account_type"":2,""email"":""mtdxy1flip@tiffincrane.com"",""email_status"":1,""username"":""mtdxy1flip@tiffincrane.com"",""reg_ip"":""172.68.151.44"",""invite_code"":""68286120"",""last_login_time"":""2025-10-19 07:55:18"",""last_login_ip"":""172.68.151.44"",""pid"":123249,""deep"":15,""referrer"":100093,""updated_at"":""2025-10-19 07:55:18"",""created_at"":""2025-10-19 07:55:18"",""user_id"":123292,""is_set_payword"":0,""status_text"":""正常"",""user_auth_level_text"":""冻结"",""user_grade_name"":""VIP0"",""user_identity_text"":""普通用户""}}}",1,"",10118,2025-10-18T23:55:06.945Z
46,mtnuf9cf27@tiffincrane.com,200,"{""code"":200,""message"":""success"",""data"":null}",180658,200,"{""code"":200,""message"":""success"",""data"":{""token"":""eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpc3MiOiJodHRwczpcL1wvY2xvdWQubHlwZXhjaGFuZ2UudmlwXC9hcGlcL2FwcFwvdXNlclwvcmVnaXN0ZXIiLCJpYXQiOjE3NjA4MzE3MjIsImV4cCI6MTc2NjAxNTcyMiwibmJmIjoxNzYwODMxNzIyLCJqdGkiOiJjUXducE91Vk5HVGZxRWV1Iiwic3ViIjoxMjMyOTMsInBydiI6IjIzYmQ1Yzg5NDlmNjAwYWRiMzllNzAxYzQwMDg3MmRiN2E1OTc2ZjciLCJsb2dpbl9jb2RlIjoiQ1JTUXJTIn0.Zjw8Iu6RtQV93u-35-hqmMHavptThOjEHG_L-dVsNhM"",""user"":{""user_grade"":0,""user_identity"":1,""is_agency"":0,""user_auth_level"":0,""status"":1,""account"":""mtnuf9cf27@tiffincrane.com"",""account_type"":2,""email"":""mtnuf9cf27@tiffincrane.com"",""email_status"":1,""username"":""mtnuf9cf27@tiffincrane.com"",""reg_ip"":""172.71.118.211"",""invite_code"":""38514390"",""last_login_time"":""2025-10-19 07:55:22"",""last_login_ip"":""172.71.118.211"",""pid"":123249,""deep"":15,""referrer"":100093,""updated_at"":""2025-10-19 07:55:22"",""created_at"":""2025-10-19 07:55:22"",""user_id"":123293,""is_set_payword"":0,""status_text"":""正常"",""user_auth_level_text"":""冻结"",""user_grade_name"":""VIP0"",""user_identity_text"":""普通用户""}}}",1,"",9768,2025-10-18T23:55:11.946Z
47,mtg2662nfd@tiffincrane.com,200,"{""code"":200,""message"":""success"",""data"":null}",350658,200,"{""code"":200,""message"":""success"",""data"":{""token"":""eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpc3MiOiJodHRwczpcL1wvY2xvdWQubHlwZXhjaGFuZ2UudmlwXC9hcGlcL2FwcFwvdXNlclwvcmVnaXN0ZXIiLCJpYXQiOjE3NjA4MzE3MjUsImV4cCI6MTc2NjAxNTcyNSwibmJmIjoxNzYwODMxNzI1LCJqdGkiOiI0SnBWSnN0a1ZXSjJTeHN4Iiwic3ViIjoxMjMyOTQsInBydiI6IjIzYmQ1Yzg5NDlmNjAwYWRiMzllNzAxYzQwMDg3MmRiN2E1OTc2ZjciLCJsb2dpbl9jb2RlIjoiaFRRaVI5In0.Gv1JSB20BEpnnalAGSK_keKTOY-Ccn5BsF7MsqOzHe8"",""user"":{""user_grade"":0,""user_identity"":1,""is_agency"":0,""user_auth_level"":0,""status"":1,""account"":""mtg2662nfd@tiffincrane.com"",""account_type"":2,""email"":""mtg2662nfd@tiffincrane.com"",""email_status"":1,""username"":""mtg2662nfd@tiffincrane.com"",""reg_ip"":""172.68.151.44"",""invite_code"":""24609336"",""last_login_time"":""2025-10-19 07:55:25"",""last_login_ip"":""172.68.151.44"",""pid"":123249,""deep"":15,""referrer"":100093,""updated_at"":""2025-10-19 07:55:25"",""created_at"":""2025-10-19 07:55:25"",""user_id"":123294,""is_set_payword"":0,""status_text"":""正常"",""user_auth_level_text"":""冻结"",""user_grade_name"":""VIP0"",""user_identity_text"":""普通用户""}}}",1,"",7262,2025-10-18T23:55:16.942Z
48,mtkkpwdzdm@tiffincrane.com,,"""""",,,"""""",0,"create account failed 429 ",285,2025-10-18T23:55:21.933Z
49,mt5usyanuu@tiffincrane.com,,"""""",,,"""""",0,"create account failed 429 ",298,2025-10-18T23:55:26.937Z
50,mti9gc9isa@tiffincrane.com,,"""""",,,"""""",0,"create account failed 429 ",587,2025-10-18T23:55:31.934Z
51,mt1v48mxmm@tiffincrane.com,,"""""",,,"""""",0,"create account failed 429 ",745,2025-10-18T23:55:36.936Z
52,mtba0l230u@tiffincrane.com,,"""""",,,"""""",0,"create account failed 429 ",651,2025-10-18T23:55:41.941Z
53,mtiolx53ia@tiffincrane.com,,"""""",,,"""""",0,"create account failed 429 ",675,2025-10-18T23:55:46.936Z
54,mt9dmt1nlc@tiffincrane.com,,"""""",,,"""""",0,"create account failed 429 ",794,2025-10-18T23:55:51.934Z
55,mtukard1u6@tiffincrane.com,,"""""",,,"""""",0,"create account failed 429 ",911,2025-10-18T23:55:56.941Z
56,mtkzereyzl@tiffincrane.com,200,"{""code"":200,""message"":""success"",""data"":null}",910134,200,"{""code"":200,""message"":""success"",""data"":{""token"":""eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpc3MiOiJodHRwczpcL1wvY2xvdWQubHlwZXhjaGFuZ2UudmlwXC9hcGlcL2FwcFwvdXNlclwvcmVnaXN0ZXIiLCJpYXQiOjE3NjA4MzE3NzEsImV4cCI6MTc2NjAxNTc3MSwibmJmIjoxNzYwODMxNzcxLCJqdGkiOiJFVUtwVTJlMEdSSE1qQUhGIiwic3ViIjoxMjMyOTUsInBydiI6IjIzYmQ1Yzg5NDlmNjAwYWRiMzllNzAxYzQwMDg3MmRiN2E1OTc2ZjciLCJsb2dpbl9jb2RlIjoiRXZwcG1TIn0.ZpB8sGxl_I57jbbMw8Sf8PnFg53QuXMB61Co0q6Dud0"",""user"":{""user_grade"":0,""user_identity"":1,""is_agency"":0,""user_auth_level"":0,""status"":1,""account"":""mtkzereyzl@tiffincrane.com"",""account_type"":2,""email"":""mtkzereyzl@tiffincrane.com"",""email_status"":1,""username"":""mtkzereyzl@tiffincrane.com"",""reg_ip"":""104.23.225.17"",""invite_code"":""76184255"",""last_login_time"":""2025-10-19 07:56:11"",""last_login_ip"":""104.23.225.17"",""pid"":123249,""deep"":15,""referrer"":100093,""updated_at"":""2025-10-19 07:56:11"",""created_at"":""2025-10-19 07:56:11"",""user_id"":123295,""is_set_payword"":0,""status_text"":""正常"",""user_auth_level_text"":""冻结"",""user_grade_name"":""VIP0"",""user_identity_text"":""普通用户""}}}",1,"",8781,2025-10-18T23:56:01.939Z
57,mt5b4p2a2q@tiffincrane.com,,"""""",,,"""""",0,"create account failed 429 ",545,2025-10-18T23:56:06.933Z
58,mtf1b3te1u@tiffincrane.com,200,"{""code"":200,""message"":""success"",""data"":null}",682800,200,"{""code"":200,""message"":""success"",""data"":{""token"":""eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpc3MiOiJodHRwczpcL1wvY2xvdWQubHlwZXhjaGFuZ2UudmlwXC9hcGlcL2FwcFwvdXNlclwvcmVnaXN0ZXIiLCJpYXQiOjE3NjA4MzE3ODEsImV4cCI6MTc2NjAxNTc4MSwibmJmIjoxNzYwODMxNzgxLCJqdGkiOiJzbFhQRXRtUU10UGlMQXdXIiwic3ViIjoxMjMyOTYsInBydiI6IjIzYmQ1Yzg5NDlmNjAwYWRiMzllNzAxYzQwMDg3MmRiN2E1OTc2ZjciLCJsb2dpbl9jb2RlIjoiMzcwSWhVIn0.qM4VtzWndAHU2x-3sYMk7L3PqB8Vm-6xthD74_X5c1A"",""user"":{""user_grade"":0,""user_identity"":1,""is_agency"":0,""user_auth_level"":0,""status"":1,""account"":""mtf1b3te1u@tiffincrane.com"",""account_type"":2,""email"":""mtf1b3te1u@tiffincrane.com"",""email_status"":1,""username"":""mtf1b3te1u@tiffincrane.com"",""reg_ip"":""104.23.225.17"",""invite_code"":""98072580"",""last_login_time"":""2025-10-19 07:56:21"",""last_login_ip"":""104.23.225.17"",""pid"":123249,""deep"":15,""referrer"":100093,""updated_at"":""2025-10-19 07:56:21"",""created_at"":""2025-10-19 07:56:21"",""user_id"":123296,""is_set_payword"":0,""status_text"":""正常"",""user_auth_level_text"":""冻结"",""user_grade_name"":""VIP0"",""user_identity_text"":""普通用户""}}}",1,"",8135,2025-10-18T23:56:11.947Z
59,mtxvwhikkb@tiffincrane.com,,"""""",,,"""""",0,"create account failed 429 ",771,2025-10-18T23:56:16.945Z
60,mt4ahebdr9@tiffincrane.com,200,"{""code"":200,""message"":""success"",""data"":null}",198865,200,"{""code"":200,""message"":""success"",""data"":{""token"":""eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpc3MiOiJodHRwczpcL1wvY2xvdWQubHlwZXhjaGFuZ2UudmlwXC9hcGlcL2FwcFwvdXNlclwvcmVnaXN0ZXIiLCJpYXQiOjE3NjA4MzE3OTAsImV4cCI6MTc2NjAxNTc5MCwibmJmIjoxNzYwODMxNzkwLCJqdGkiOiJHWTBwMWU4czREQk9uTThrIiwic3ViIjoxMjMyOTcsInBydiI6IjIzYmQ1Yzg5NDlmNjAwYWRiMzllNzAxYzQwMDg3MmRiN2E1OTc2ZjciLCJsb2dpbl9jb2RlIjoialhwR0VCIn0.RS3-qNQ0ml9Sox0Ybqhq7wwTu1WmvpU0r7j0XWzElBE"",""user"":{""user_grade"":0,""user_identity"":1,""is_agency"":0,""user_auth_level"":0,""status"":1,""account"":""mt4ahebdr9@tiffincrane.com"",""account_type"":2,""email"":""mt4ahebdr9@tiffincrane.com"",""email_status"":1,""username"":""mt4ahebdr9@tiffincrane.com"",""reg_ip"":""104.23.225.17"",""invite_code"":""84028270"",""last_login_time"":""2025-10-19 07:56:30"",""last_login_ip"":""104.23.225.17"",""pid"":123249,""deep"":15,""referrer"":100093,""updated_at"":""2025-10-19 07:56:30"",""created_at"":""2025-10-19 07:56:30"",""user_id"":123297,""is_set_payword"":0,""status_text"":""正常"",""user_auth_level_text"":""冻结"",""user_grade_name"":""VIP0"",""user_identity_text"":""普通用户""}}}",1,"",7670,2025-10-18T23:56:21.933Z
61,mtslgat4zw@tiffincrane.com,,"""""",,,"""""",0,"create account failed 429 ",705,2025-10-18T23:56:26.943Z
62,mt8ls9lqhr@tiffincrane.com,,"""""",,,"""""",0,"create account failed 429 ",282,2025-10-18T23:56:31.936Z
63,mtw2asvyal@tiffincrane.com,,"""""",,,"""""",0,"create account failed 429 ",637,2025-10-18T23:56:36.940Z
64,mt5wiq8gjm@tiffincrane.com,,"""""",,,"""""",0,"create account failed 429 ",655,2025-10-18T23:56:41.939Z
65,mt2pd9gtwt@tiffincrane.com,,"""""",,,"""""",0,"create account failed 429 ",541,2025-10-18T23:56:46.936Z
66,mtn7nxjavj@tiffincrane.com,,"""""",,,"""""",0,"create account failed 429 ",698,2025-10-18T23:56:51.935Z
67,mt2wilauxe@tiffincrane.com,200,"{""code"":200,""message"":""success"",""data"":null}",325976,200,"{""code"":200,""message"":""success"",""data"":{""token"":""eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpc3MiOiJodHRwczpcL1wvY2xvdWQubHlwZXhjaGFuZ2UudmlwXC9hcGlcL2FwcFwvdXNlclwvcmVnaXN0ZXIiLCJpYXQiOjE3NjA4MzE4MzAsImV4cCI6MTc2NjAxNTgzMCwibmJmIjoxNzYwODMxODMwLCJqdGkiOiJkOXVrUEFoTDZqYU4wOG96Iiwic3ViIjoxMjMyOTgsInBydiI6IjIzYmQ1Yzg5NDlmNjAwYWRiMzllNzAxYzQwMDg3MmRiN2E1OTc2ZjciLCJsb2dpbl9jb2RlIjoiN1JTeTdJIn0.Dw_QjK4K7bnPcsQ8B8xxjnL0d3faKUkPEN3NQEkLxA4"",""user"":{""user_grade"":0,""user_identity"":1,""is_agency"":0,""user_auth_level"":0,""status"":1,""account"":""mt2wilauxe@tiffincrane.com"",""account_type"":2,""email"":""mt2wilauxe@tiffincrane.com"",""email_status"":1,""username"":""mt2wilauxe@tiffincrane.com"",""reg_ip"":""172.71.126.245"",""invite_code"":""50094059"",""last_login_time"":""2025-10-19 07:57:10"",""last_login_ip"":""172.71.126.245"",""pid"":123249,""deep"":15,""referrer"":100093,""updated_at"":""2025-10-19 07:57:10"",""created_at"":""2025-10-19 07:57:10"",""user_id"":123298,""is_set_payword"":0,""status_text"":""正常"",""user_auth_level_text"":""冻结"",""user_grade_name"":""VIP0"",""user_identity_text"":""普通用户""}}}",1,"",12185,2025-10-18T23:56:56.933Z
68,mtw6egc292@tiffincrane.com,200,"{""code"":200,""message"":""success"",""data"":null}",707082,200,"{""code"":200,""message"":""success"",""data"":{""token"":""eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpc3MiOiJodHRwczpcL1wvY2xvdWQubHlwZXhjaGFuZ2UudmlwXC9hcGlcL2FwcFwvdXNlclwvcmVnaXN0ZXIiLCJpYXQiOjE3NjA4MzE4MzEsImV4cCI6MTc2NjAxNTgzMSwibmJmIjoxNzYwODMxODMxLCJqdGkiOiJwSmhFOVlVSjFhenVlSmg1Iiwic3ViIjoxMjMyOTksInBydiI6IjIzYmQ1Yzg5NDlmNjAwYWRiMzllNzAxYzQwMDg3MmRiN2E1OTc2ZjciLCJsb2dpbl9jb2RlIjoiZzlOVDV1In0.q3hcFobo3ernwXOp4ir3Cz72k5y0rhSTDuKi41KmSNA"",""user"":{""user_grade"":0,""user_identity"":1,""is_agency"":0,""user_auth_level"":0,""status"":1,""account"":""mtw6egc292@tiffincrane.com"",""account_type"":2,""email"":""mtw6egc292@tiffincrane.com"",""email_status"":1,""username"":""mtw6egc292@tiffincrane.com"",""reg_ip"":""172.71.126.244"",""invite_code"":""09247383"",""last_login_time"":""2025-10-19 07:57:11"",""last_login_ip"":""172.71.126.244"",""pid"":123249,""deep"":15,""referrer"":100093,""updated_at"":""2025-10-19 07:57:11"",""created_at"":""2025-10-19 07:57:11"",""user_id"":123299,""is_set_payword"":0,""status_text"":""正常"",""user_auth_level_text"":""冻结"",""user_grade_name"":""VIP0"",""user_identity_text"":""普通用户""}}}",1,"",8718,2025-10-18T23:57:01.933Z
69,mtf2sq57a1@tiffincrane.com,,"""""",,,"""""",0,"create account failed 429 ",234,2025-10-18T23:57:06.933Z
70,mtdktzj0dc@tiffincrane.com,200,"{""code"":200,""message"":""success"",""data"":null}",547384,200,"{""code"":200,""message"":""success"",""data"":{""token"":""eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpc3MiOiJodHRwczpcL1wvY2xvdWQubHlwZXhjaGFuZ2UudmlwXC9hcGlcL2FwcFwvdXNlclwvcmVnaXN0ZXIiLCJpYXQiOjE3NjA4MzE4NDAsImV4cCI6MTc2NjAxNTg0MCwibmJmIjoxNzYwODMxODQwLCJqdGkiOiI4aVJTRjBud042WU9aOEF1Iiwic3ViIjoxMjMzMDAsInBydiI6IjIzYmQ1Yzg5NDlmNjAwYWRiMzllNzAxYzQwMDg3MmRiN2E1OTc2ZjciLCJsb2dpbl9jb2RlIjoiOG1JTDJRIn0.5ODZHy5gkYGskJ7-DgnWl1xlfZuGThbKoTjvCHRMMDM"",""user"":{""user_grade"":0,""user_identity"":1,""is_agency"":0,""user_auth_level"":0,""status"":1,""account"":""mtdktzj0dc@tiffincrane.com"",""account_type"":2,""email"":""mtdktzj0dc@tiffincrane.com"",""email_status"":1,""username"":""mtdktzj0dc@tiffincrane.com"",""reg_ip"":""172.71.126.244"",""invite_code"":""36791895"",""last_login_time"":""2025-10-19 07:57:20"",""last_login_ip"":""172.71.126.244"",""pid"":123249,""deep"":15,""referrer"":100093,""updated_at"":""2025-10-19 07:57:20"",""created_at"":""2025-10-19 07:57:20"",""user_id"":123300,""is_set_payword"":0,""status_text"":""正常"",""user_auth_level_text"":""冻结"",""user_grade_name"":""VIP0"",""user_identity_text"":""普通用户""}}}",1,"",7819,2025-10-18T23:57:11.944Z
71,mt917h82tg@tiffincrane.com,,"""""",,,"""""",0,"create account failed 429 ",772,2025-10-18T23:57:16.948Z
72,mtmf3m40gg@tiffincrane.com,200,"{""code"":200,""message"":""success"",""data"":null}",549138,200,"{""code"":200,""message"":""success"",""data"":{""token"":""eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpc3MiOiJodHRwczpcL1wvY2xvdWQubHlwZXhjaGFuZ2UudmlwXC9hcGlcL2FwcFwvdXNlclwvcmVnaXN0ZXIiLCJpYXQiOjE3NjA4MzE4NTAsImV4cCI6MTc2NjAxNTg1MCwibmJmIjoxNzYwODMxODUwLCJqdGkiOiJXVkJZc2s1SWhacXVkSW9FIiwic3ViIjoxMjMzMDEsInBydiI6IjIzYmQ1Yzg5NDlmNjAwYWRiMzllNzAxYzQwMDg3MmRiN2E1OTc2ZjciLCJsb2dpbl9jb2RlIjoiQXl1bGNyIn0.2-CfGcrCgKCSGDNhF4UB5aC4k48KlxvbCMYDLXFoJxA"",""user"":{""user_grade"":0,""user_identity"":1,""is_agency"":0,""user_auth_level"":0,""status"":1,""account"":""mtmf3m40gg@tiffincrane.com"",""account_type"":2,""email"":""mtmf3m40gg@tiffincrane.com"",""email_status"":1,""username"":""mtmf3m40gg@tiffincrane.com"",""reg_ip"":""172.71.126.244"",""invite_code"":""81108595"",""last_login_time"":""2025-10-19 07:57:30"",""last_login_ip"":""172.71.126.244"",""pid"":123249,""deep"":15,""referrer"":100093,""updated_at"":""2025-10-19 07:57:30"",""created_at"":""2025-10-19 07:57:30"",""user_id"":123301,""is_set_payword"":0,""status_text"":""正常"",""user_auth_level_text"":""冻结"",""user_grade_name"":""VIP0"",""user_identity_text"":""普通用户""}}}",1,"",7741,2025-10-18T23:57:21.944Z
73,mt377fcvoy@tiffincrane.com,,"""""",,,"""""",0,"create account failed 429 ",603,2025-10-18T23:57:26.942Z
74,mte9ez25an@tiffincrane.com,,"""""",,,"""""",0,"create account failed 429 ",211,2025-10-18T23:57:31.939Z
75,mtnjqxjkqp@tiffincrane.com,200,"{""code"":200,""message"":""success"",""data"":null}",960904,200,"{""code"":200,""message"":""success"",""data"":{""token"":""eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpc3MiOiJodHRwczpcL1wvY2xvdWQubHlwZXhjaGFuZ2UudmlwXC9hcGlcL2FwcFwvdXNlclwvcmVnaXN0ZXIiLCJpYXQiOjE3NjA4MzE4NjcsImV4cCI6MTc2NjAxNTg2NywibmJmIjoxNzYwODMxODY3LCJqdGkiOiJiallVREVxWnZOeGxoRGx3Iiwic3ViIjoxMjMzMDIsInBydiI6IjIzYmQ1Yzg5NDlmNjAwYWRiMzllNzAxYzQwMDg3MmRiN2E1OTc2ZjciLCJsb2dpbl9jb2RlIjoiWkFrWUdOIn0.g9_K4At864S9PJ-A1yKLwLsa_kV5_X0wmildG4ecyTc"",""user"":{""user_grade"":0,""user_identity"":1,""is_agency"":0,""user_auth_level"":0,""status"":1,""account"":""mtnjqxjkqp@tiffincrane.com"",""account_type"":2,""email"":""mtnjqxjkqp@tiffincrane.com"",""email_status"":1,""username"":""mtnjqxjkqp@tiffincrane.com"",""reg_ip"":""172.71.131.99"",""invite_code"":""37701933"",""last_login_time"":""2025-10-19 07:57:47"",""last_login_ip"":""172.71.131.99"",""pid"":123249,""deep"":15,""referrer"":100093,""updated_at"":""2025-10-19 07:57:47"",""created_at"":""2025-10-19 07:57:47"",""user_id"":123302,""is_set_payword"":0,""status_text"":""正常"",""user_auth_level_text"":""冻结"",""user_grade_name"":""VIP0"",""user_identity_text"":""普通用户""}}}",1,"",9859,2025-10-18T23:57:36.939Z
76,mt52hy55fm@tiffincrane.com,,"""""",,,"""""",0,"create account failed 429 ",254,2025-10-18T23:57:41.933Z
77,mt8r4l6fho@tiffincrane.com,,"""""",,,"""""",0,"create account failed 429 ",229,2025-10-18T23:57:46.943Z
78,mtm5foc8q3@tiffincrane.com,,"""""",,,"""""",0,"create account failed 429 ",777,2025-10-18T23:57:51.945Z
79,mtqhur3mhx@tiffincrane.com,,"""""",,,"""""",0,"create account failed 429 ",609,2025-10-18T23:57:56.939Z
80,mtt22uvcns@tiffincrane.com,200,"{""code"":200,""message"":""success"",""data"":null}",516670,200,"{""code"":200,""message"":""success"",""data"":{""token"":""eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpc3MiOiJodHRwczpcL1wvY2xvdWQubHlwZXhjaGFuZ2UudmlwXC9hcGlcL2FwcFwvdXNlclwvcmVnaXN0ZXIiLCJpYXQiOjE3NjA4MzE4OTIsImV4cCI6MTc2NjAxNTg5MiwibmJmIjoxNzYwODMxODkyLCJqdGkiOiJOSEM2Njk3N3p1ZzExa293Iiwic3ViIjoxMjMzMDMsInBydiI6IjIzYmQ1Yzg5NDlmNjAwYWRiMzllNzAxYzQwMDg3MmRiN2E1OTc2ZjciLCJsb2dpbl9jb2RlIjoiVm1GdXViIn0.R95md3FQ5n_aLl26LLSSB1p_mT9BA84LYWiwNYhzZgA"",""user"":{""user_grade"":0,""user_identity"":1,""is_agency"":0,""user_auth_level"":0,""status"":1,""account"":""mtt22uvcns@tiffincrane.com"",""account_type"":2,""email"":""mtt22uvcns@tiffincrane.com"",""email_status"":1,""username"":""mtt22uvcns@tiffincrane.com"",""reg_ip"":""172.71.126.244"",""invite_code"":""87677113"",""last_login_time"":""2025-10-19 07:58:12"",""last_login_ip"":""172.71.126.244"",""pid"":123249,""deep"":15,""referrer"":100093,""updated_at"":""2025-10-19 07:58:12"",""created_at"":""2025-10-19 07:58:12"",""user_id"":123303,""is_set_payword"":0,""status_text"":""正常"",""user_auth_level_text"":""冻结"",""user_grade_name"":""VIP0"",""user_identity_text"":""普通用户""}}}",1,"",8921,2025-10-18T23:58:01.937Z
81,mtmm0znfyb@tiffincrane.com,,"""""",,,"""""",0,"create account failed 429 ",604,2025-10-18T23:58:06.939Z
